id,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated,time_stamp
amp-token,Amp,0.00795439,670102746,15645373.0,0.00827565,0.00794564,-2.20651,2025-01-07T12:32:17.082Z,07-01-2025_18-11-46
akuma-inu,Akuma Inu,0.00099939,666660831,5250468.0,0.00100136,0.00048448,96.08566,2025-01-07T12:32:16.037Z,07-01-2025_18-11-46
ether-fi-staked-btc,Ether.fi Staked BTC,100359.0,666135969,370380.0,101503.0,98331.0,1.24834,2025-01-07T12:32:19.652Z,07-01-2025_18-11-46
tether-gold,Tether Gold,2645.48,652417244,7799669.0,2647.96,2612.79,0.16195,2025-01-07T12:32:17.505Z,07-01-2025_18-11-46
axelar,Axelar,0.729514,651508497,10620102.0,0.773579,0.729237,-1.95132,2025-01-07T12:32:17.705Z,07-01-2025_18-11-46
terra-luna,Terra Luna Classic,0.00011758,647039990,32703419.0,0.00012187,0.00011747,-1.18945,2025-01-07T12:32:17.348Z,07-01-2025_18-11-46
frax,Frax,0.994157,645888388,10299533.0,1.001,0.992899,-0.1867,2025-01-07T12:32:20.617Z,07-01-2025_18-11-46
layerzero,LayerZero,5.67,630356652,106115768.0,6.07,5.64,-2.63551,2025-01-07T12:32:13.471Z,07-01-2025_18-11-46
freysa-ai,Freysa AI,0.075285,613915522,10646158.0,0.080047,0.071647,1.24211,2025-01-07T12:32:09.838Z,07-01-2025_18-11-46
coinbase-wrapped-staked-eth,Coinbase Wrapped Staked ETH,3940.49,608632753,5804514.0,4058.52,3940.46,-0.73122,2025-01-07T12:32:20.380Z,07-01-2025_18-11-46
cat-in-a-dogs-world,cat in a dogs world,0.0067932,603818672,31612876.0,0.00717326,0.00679608,-1.70342,2025-01-07T12:32:18.643Z,07-01-2025_18-11-46
livepeer,Livepeer,16.25,603632781,65833343.0,17.28,16.22,-2.46962,2025-01-07T12:32:13.147Z,07-01-2025_18-11-46
oasis-network,Oasis,0.089379,601888269,38417547.0,0.095754,0.089318,-2.83255,2025-01-07T12:32:14.379Z,07-01-2025_18-11-46
ordinals,ORDI,28.49,598156253,138449952.0,30.09,28.49,-4.03143,2025-01-07T12:32:14.118Z,07-01-2025_18-11-46
1inch,1inch,0.425577,595151423,55235492.0,0.444335,0.424524,-1.54709,2025-01-07T12:32:18.666Z,07-01-2025_18-11-46
safe,Safe,1.13,591911461,35160523.0,1.12,1.051,6.21464,2025-01-07T12:32:15.105Z,07-01-2025_18-11-46
usdx-money-usdx,usdx.money USDX,0.997116,590285330,127043.0,1.006,0.993626,-0.14622,2025-01-07T12:32:18.307Z,07-01-2025_18-11-46
